"Player Details","","","","","","Route Share","","","","","","","","","","","","","","","","","",""
"Rank","Name","Team","POS","G","Season","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18","TM RTE %"
"84","Xavier Worthy","KC","WR","14","2025","2.1","","","60.0","80.4","68.4","67.5","82.5","84.2","","61.2","83.3","77.5","71.4","62.5","83.9","56.0","","66.8"
"85","Keenan Allen","LAC","WR","17","2025","78.0","78.1","77.4","77.3","60.0","69.2","72.1","50.0","51.3","60.0","65.6","","82.1","73.2","57.6","51.5","64.3","52.8","66.1"
"86","Harold Fannin","CLV","TE","16","2025","60.4","60.8","44.7","60.5","47.2","74.1","82.6","63.2","","74.4","48.5","66.7","90.0","85.1","88.1","73.0","25.0","","66.0"
"87","Mike Evans","TB","WR","8","2025","83.8","80.0","69.7","","","","20.4","","","","","","","","65.0","73.3","78.0","75.0","65.9"
"88","AJ Barner","SEA","TE","17","2025","72.0","65.7","47.6","60.0","58.8","58.6","62.9","","75.0","38.5","82.2","63.0","66.7","64.7","66.7","80.0","58.1","63.3","65.5"
"89","Stefon Diggs","NE","WR","17","2025","64.2","46.7","55.3","77.3","61.1","64.5","72.2","64.7","67.5","72.2","89.2","51.3","55.6","","58.6","78.4","67.9","64.3","65.4"
"90","Sterling Shepard","TB","WR","13","2025","67.6","80.0","69.7","68.2","42.1","72.0","72.2","63.0","","75.6","78.8","57.1","39.4","57.1","","","","","65.4"
"91","Jalen Nailor","MIN","WR","17","2025","87.5","96.7","86.2","55.6","58.5","","60.9","72.2","61.3","66.0","62.5","52.0","61.8","58.6","61.5","55.2","56.0","67.6","65.2"
"92","Brenton Strange","JAX","TE","12","2025","60.6","68.2","65.1","71.9","26.5","","","","","","","65.7","75.0","63.6","66.7","67.4","67.4","69.4","64.2"
"93","Hunter Renfrow","CAR","WR","6","2025","82.5","88.1","37.0","55.3","55.9","29.6","","","","","","","","","","","","","63.6"
"94","Keon Coleman","BUF","WR","13","2025","84.6","54.8","75.0","71.4","64.1","85.3","","60.0","56.7","71.7","","","40.7","19.4","51.5","","","73.3","63.4"
"95","Mark Andrews","BLT","TE","17","2025","59.1","75.8","68.4","57.5","52.4","70.0","","52.0","51.9","60.6","64.5","65.5","65.8","78.6","55.6","45.5","62.5","57.1","62.9"
"96","Josh Downs","IND","WR","16","2025","48.5","60.5","51.9","62.9","71.9","57.6","","62.9","69.6","53.8","","42.4","64.3","56.4","82.1","84.2","72.7","60.5","62.8"
"97","Malik Washington","MIA","WR","17","2025","72.2","59.5","65.7","55.6","60.0","47.2","77.8","57.1","67.4","57.1","65.2","","62.1","54.5","69.7","61.3","68.0","60.0","62.8"
"98","Parker Washington","JAX","WR","16","2025","12.1","22.7","65.1","81.3","26.5","36.0","77.2","","79.5","90.6","91.7","91.4","37.5","","52.8","65.1","93.0","80.6","62.2"
"99","De'Von Achane","MIA","RB","16","2025","52.8","83.8","82.9","59.3","72.5","69.4","33.3","60.7","69.8","76.2","65.2","","51.7","31.8","75.8","51.6","40.0","","62.2"
"100","Oronde Gadsden","LAC","TE","15","2025","","","28.3","45.5","57.5","69.2","78.7","88.2","84.6","45.0","75.0","","67.9","70.7","54.5","69.7","69.0","35.8","61.3"
"101","Colston Loveland","CHI","TE","16","2025","44.2","47.5","17.2","","","39.4","63.0","75.6","79.5","51.2","52.8","57.9","57.5","53.8","56.3","78.4","80.4","77.1","59.2"
"102","Jonathan Taylor","IND","RB","17","2025","57.6","65.8","77.8","65.7","68.8","81.8","61.1","57.1","58.9","56.4","","51.5","71.4","33.3","50.0","73.7","57.6","28.9","59.2"
"103","Brandin Cooks","NO, BUF","WR","15","2025","73.5","77.5","68.9","94.3","56.3","60.0","62.2","60.7","61.5","67.7","","","29.6","36.1","39.4","26.1","47.6","","59.2"
"104","Xavier Hutchinson","HST","WR","17","2025","64.7","66.7","62.8","71.9","62.9","","75.9","73.8","66.0","51.0","48.9","32.3","51.4","45.7","37.5","36.1","50.0","88.2","58.7"
"105","Mack Hollins","NE","WR","15","2025","34.0","53.3","48.9","40.9","38.9","48.4","50.0","70.6","50.0","80.6","83.8","74.4","66.7","","75.9","66.7","","","58.5"
