"51","Romeo Doubs","GB","WR","17","2023","48.3","76.6","87.3","90.6","87.7","","83.6","80.6","86.8","78.5","71.8","85.2","81.0","81.8","91.4","88.9","78.1","18.3","77.5"
"52","Durham Smythe","MIA","TE","16","2023","100.0","96.7","36.6","86.2","85.2","67.7","91.7","63.0","86.2","","","76.8","67.8","79.7","70.2","85.9","75.8","77.1","77.2"
"53","Courtland Sutton","DEN","WR","16","2023","84.5","83.9","94.9","83.3","86.0","93.9","85.5","75.4","","85.9","78.8","75.8","84.7","74.2","95.2","15.4","","44.1","77.0"
"54","Christian Watson","GB","WR","9","2023","","","","45.3","84.2","","86.9","82.3","76.5","75.4","78.9","87.0","73.0","","","","","","76.9"
"55","Josh Jacobs","LV","RB","13","2023","80.0","74.4","83.6","71.0","84.4","81.5","68.3","75.6","78.0","83.9","76.3","75.9","","62.3","","","","","76.8"
"56","Travis Kelce","KC","TE","15","2023","","65.6","60.0","78.8","57.8","67.1","75.0","84.2","75.0","","94.6","75.9","88.5","90.3","75.4","82.2","81.1","","76.6"
"57","Darnell Mooney","CHI","WR","15","2023","84.3","29.4","70.6","77.1","78.1","78.5","65.2","87.3","85.9","67.1","62.0","82.4","","89.4","90.0","80.6","","","75.9"
"58","D.J. Chark","CAR","WR","15","2023","","58.9","93.3","91.2","96.9","70.1","","91.8","59.2","","74.6","73.1","39.1","88.5","74.6","73.0","83.0","66.0","75.9"
"59","Tyler Boyd","CIN","WR","17","2023","85.2","91.2","75.7","90.2","74.7","88.7","","83.9","80.6","91.7","89.8","61.0","75.0","49.1","58.0","77.0","69.0","41.0","75.2"
"60","Chris Olave","NO","WR","16","2023","78.1","78.4","83.3","91.8","81.4","87.2","81.6","74.2","71.0","80.3","","47.8","61.2","65.4","","74.1","67.1","74.2","75.1"
"61","Jake Ferguson","DAL","TE","17","2023","74.5","57.8","66.7","56.5","69.4","86.9","","81.0","90.0","66.2","73.5","70.0","74.7","75.7","87.7","83.6","90.3","72.5","74.6"
"62","Josh Palmer","LAC","WR","10","2023","68.4","53.8","59.4","87.3","","96.7","98.4","66.2","","","","","","","71.4","93.8","","56.3","74.4"
"63","Hunter Henry","NE","TE","14","2023","78.2","91.5","85.5","78.2","74.5","60.7","45.5","56.9","87.3","72.1","","66.2","74.2","87.3","72.5","","","","74.3"
"64","Deebo Samuel","SF","WR","15","2023","86.4","92.6","78.2","86.8","71.6","14.5","","","","56.7","86.4","75.4","82.5","77.4","85.2","95.6","83.8","31.0","74.1"
"65","DeVante Parker","NE","WR","13","2023","","100.0","78.3","80.0","98.0","75.0","56.4","43.1","","","","75.0","85.5","","90.2","92.9","28.3","48.3","73.9"
"66","Brandin Cooks","DAL","WR","16","2023","58.2","","80.0","71.0","65.3","78.7","","61.9","78.6","50.6","75.0","80.0","89.9","77.0","75.4","77.0","79.0","81.2","73.9"
"67","Travis Etienne","JAX","RB","17","2023","79.7","71.9","72.5","84.4","82.9","79.0","90.9","87.7","","64.8","65.2","60.3","63.2","77.0","68.9","72.1","62.9","68.2","73.7"
"68","Tee Higgins","CIN","WR","12","2023","94.4","87.7","86.5","49.0","","54.7","","66.1","82.1","","","","77.8","73.7","87.0","80.3","39.4","","73.5"
"69","Kendrick Bourne","NE","WR","8","2023","91.0","52.1","56.5","52.7","88.2","92.9","96.4","60.8","","","","","","","","","","","73.5"
"70","Elijah Moore","CLV","WR","17","2023","72.2","76.5","76.1","83.1","","80.0","79.2","81.3","60.6","84.0","71.2","82.9","73.9","68.9","79.1","82.7","53.4","11.3","72.7"
"71","Zay Jones","JAX","WR","9","2023","88.4","64.1","","","43.9","","","","","","59.4","69.1","92.6","83.8","60.7","","","95.5","72.6"
"72","Dalton Schultz","HST","TE","15","2023","81.9","70.9","66.1","46.4","58.6","63.3","","78.6","77.4","87.8","82.1","46.6","","","84.7","77.9","77.0","80.0","72.4"
"73","Allen Robinson","PIT","WR","17","2023","90.2","86.8","80.0","83.9","86.2","","62.5","70.3","73.3","78.3","77.2","61.8","53.4","59.1","64.8","67.2","66.2","67.7","72.1"
"74","DeAndre Hopkins","TEN","WR","17","2023","76.3","58.7","71.1","51.6","86.2","89.1","","63.6","67.6","78.0","63.2","56.6","78.8","63.2","77.8","81.3","86.8","77.8","72.1"
"75","Michael Mayer","LV","TE","14","2023","50.9","38.5","46.3","55.1","67.2","81.5","71.7","91.1","88.1","87.1","78.0","86.2","","94.3","68.3","","","","71.8"
