"Player Details","","","","","","Weeks","","","","","","","","","","","","","","","","","","Fantasy Points",""
"Rank","Name","Team","POS","G","Season","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18","FP/G","FP"
"64","Malik Nabers","NYG","WR","4","2025","12.1","37.7","3.3","4.0","","","","","","","","","","","","","","","14.3","57.1"
"65","Garrett Wilson","NYJ","WR","7","2025","22.5","9.0","24.4","20.2","19.1","4.3","","","","0.0","","","","","","","","","14.2","99.5"
"66","Tee Higgins","CIN","WR","15","2025","6.3","14.6","2.5","6.2","11.2","11.2","21.6","11.4","33.1","","15.3","8.1","","27.2","","14.3","9.9","18.7","14.1","211.6"
"67","Bucky Irving","TB","RB","10","2025","14.5","18.1","13.9","26.5","","","","","","","","","16.1","16.1","8.1","7.1","8.3","10.8","14.0","139.5"
"68","J.J. McCarthy","MIN","QB","10","2025","23.2","5.8","","","","","","","19.9","16.7","8.0","2.5","","20.4","24.5","10.3","","8.0","13.9","139.4"
"69","Michael Penix","ATL","QB","9","2025","24.0","5.3","5.8","19.7","","14.6","13.2","","22.7","12.0","7.9","","","","","","","","13.9","125.3"
"70","Wan'Dale Robinson","NYG","WR","16","2025","11.5","28.2","3.6","4.4","8.2","20.4","15.5","7.8","13.6","12.2","7.6","30.6","10.4","","16.4","5.2","22.3","","13.6","217.9"
"71","Jaylen Warren","PIT","RB","16","2025","13.9","17.4","13.1","","","8.3","19.8","9.3","16.9","11.1","8.7","12.8","12.4","15.2","7.8","29.1","6.4","14.9","13.6","217.1"
"72","Tyreek Hill","MIA","WR","4","2025","8.0","16.9","15.9","12.7","","","","","","","","","","","","","","","13.4","53.5"
"73","Christian Watson","GB","WR","10","2025","","","","","","","","12.5","7.8","6.5","20.6","9.9","18.3","24.9","5.9","3.7","22.3","","13.2","132.4"
"74","Breece Hall","NYJ","RB","16","2025","16.5","5.8","9.2","16.1","18.5","5.9","7.2","32.9","","19.5","8.4","14.9","15.6","4.3","5.7","8.3","20.9","","13.1","209.7"
"75","Kenneth Gainwell","PIT","RB","17","2025","5.3","6.6","9.6","31.4","","9.6","3.5","4.5","7.4","2.4","29.5","18.2","6.5","16.2","19.6","23.8","6.8","21.4","13.1","222.3"
"76","Malik Willis","GB","QB","4","2025","","","","","","","","","","","5.8","0.6","","","","13.2","32.5","","13.0","52.2"
"77","Rhamondre Stevenson","NE","RB","14","2025","4.7","21.2","6.6","5.1","15.7","1.8","16.8","5.9","","","","2.0","11.0","","10.7","17.8","27.2","35.3","13.0","181.8"
"78","Michael Wilson","ARZ","WR","17","2025","1.5","8.1","1.5","4.5","3.6","8.4","7.0","","9.1","7.4","33.5","21.8","6.6","37.2","16.4","13.2","19.9","20.9","13.0","220.6"
"79","Jameson Williams","DET","WR","17","2025","6.6","18.8","6.3","5.7","2.0","18.6","0.0","","16.6","23.9","19.7","0.0","26.9","17.3","26.4","12.0","5.7","13.4","12.9","219.9"
"80","Courtland Sutton","DEN","WR","17","2025","18.1","1.6","23.8","19.1","17.9","2.7","16.7","10.7","10.0","5.4","9.9","","17.2","12.2","24.3","20.6","8.0","1.5","12.9","219.7"
"81","Geno Smith","LV","QB","15","2025","18.5","6.2","26.1","12.8","7.9","9.7","2.8","","27.3","5.4","13.9","15.2","13.0","9.0","","15.0","9.1","","12.8","191.9"
"82","Rico Dowdle","CAR","RB","17","2025","3.6","2.9","10.8","4.0","32.4","33.9","10.6","5.4","28.1","15.3","15.0","11.4","9.9","","12.4","8.3","9.3","4.0","12.8","217.3"
"83","Tua Tagovailoa","MIA","QB","14","2025","8.3","19.6","13.8","15.7","22.7","9.6","1.6","24.2","9.5","12.8","6.8","","5.7","9.1","17.2","","","","12.6","176.7"
"84","Mac Jones","SF","QB","11","2025","","22.8","14.3","","22.2","13.2","6.2","19.0","16.8","24.1","-0.3","","0.2","","","-0.3","","","12.5","138.0"
"85","Tetairoa McMillan","CAR","WR","17","2025","11.8","16.0","7.8","10.2","13.3","17.9","6.3","16.9","8.6","11.0","33.0","11.5","11.3","","4.5","19.3","1.5","11.5","12.5","212.4"
"86","DK Metcalf","PIT","WR","15","2025","12.3","11.0","12.2","23.6","","19.5","8.0","16.5","2.6","6.5","9.9","14.4","6.2","21.8","14.5","8.2","","","12.5","187.2"
"87","Kyle Pitts","ATL","TE","17","2025","12.9","7.7","7.9","18.0","","4.8","13.2","14.9","7.8","5.8","3.4","4.5","15.2","15.0","45.6","18.7","3.6","11.8","12.4","210.8"
"88","Stefon Diggs","NE","WR","17","2025","11.7","7.2","5.3","16.1","24.6","5.8","13.9","10.4","12.8","15.6","19.5","4.0","5.6","","5.6","22.8","22.1","7.3","12.4","210.3"
"89","Dallas Goedert","PHI","TE","15","2025","11.4","","10.3","19.7","10.9","26.0","4.8","17.8","","8.3","4.4","4.0","4.7","15.8","25.0","12.2","9.8","","12.3","185.1"
"90","Marcus Mariota","WAS","QB","11","2025","","","21.3","17.2","","","4.9","13.3","0.0","18.7","16.4","","24.3","-0.1","15.7","3.7","","","12.3","135.5"
"91","Quentin Johnston","LAC","WR","14","2025","24.9","15.9","14.9","23.8","7.9","","11.0","0.0","15.3","9.2","0.0","","11.3","2.8","","20.4","14.8","","12.3","172.2"
