"Player Details","","","","","","Target Share","","","","","","","","","","","","","","","","","",""
"Rank","Name","Team","POS","G","Season","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18","TM TGT %"
"67","Parker Washington","JAX","WR","16","2025","0.0","11.9","25.0","6.5","12.0","9.5","20.8","","26.5","17.4","9.1","23.3","11.1","","9.4","25.0","27.0","28.1","16.9"
"68","Tucker Kraft","GB","TE","8","2025","18.2","19.4","16.0","11.6","","7.7","31.0","24.3","8.1","","","","","","","","","","16.8"
"69","Hunter Henry","NE","TE","17","2025","17.4","13.0","27.0","11.1","13.3","11.5","16.7","4.2","20.7","12.9","14.7","28.6","19.4","","13.0","15.9","12.0","22.7","16.7"
"70","Albert Okwuegbunam","LV","TE","1","2025","","","","","16.7","","","","","","","","","","","","","","16.7"
"71","Troy Franklin","DEN","WR","17","2025","15.0","30.0","16.0","19.0","10.3","13.3","20.0","27.6","24.3","32.1","21.1","","6.7","10.5","17.6","10.6","10.5","4.3","16.6"
"72","Chris Godwin","TB","WR","9","2025","","","","22.5","12.1","","","","","","","11.8","17.9","23.3","11.8","23.1","18.2","4.5","16.5"
"73","Josh Downs","IND","WR","16","2025","10.3","23.5","12.0","15.2","21.9","23.3","","9.7","18.0","7.7","","19.4","18.5","11.1","18.5","25.0","12.9","11.4","16.4"
"74","Elic Ayomanor","TEN","WR","16","2025","25.0","18.2","13.2","19.2","10.3","13.2","14.7","21.1","28.6","","13.5","","13.2","10.7","3.4","14.3","17.5","30.3","16.3"
"75","Jake Ferguson","DAL","TE","17","2025","17.6","23.1","31.1","17.5","31.0","8.8","23.3","2.9","17.9","","15.2","16.7","15.4","14.9","7.9","9.4","5.4","8.3","16.0"
"76","Jahmyr Gibbs","DET","RB","17","2025","25.6","10.7","21.4","7.4","8.3","6.9","10.3","","8.1","11.4","21.6","28.6","14.8","20.6","17.1","24.1","10.3","9.5","16.0"
"77","Mark Andrews","BLT","TE","17","2025","5.3","10.3","21.4","24.2","15.0","17.6","","13.6","13.0","17.2","20.0","13.0","15.6","11.4","25.0","15.0","20.0","11.1","15.9"
"78","Theo Johnson","NYG","TE","15","2025","8.1","12.2","3.1","23.8","17.5","15.4","21.2","16.7","18.2","22.2","13.8","13.5","33.3","","10.8","15.4","","","15.8"
"79","Rashid Shaheed","NO, SEA","WR","18","2025","19.6","14.7","14.6","17.9","15.6","23.1","28.1","23.5","36.0","8.3","9.1","3.8","7.7","16.7","19.4","2.9","3.7","3.8","15.5"
"80","Keon Coleman","BUF","WR","13","2025","23.9","11.1","14.3","18.2","22.6","19.2","","17.4","7.7","20.0","","","13.0","10.7","0.0","","","13.8","15.4"
"81","Cade Otton","TB","TE","16","2025","6.3","10.5","0.0","10.0","15.2","26.1","18.0","20.8","","27.9","17.9","20.6","7.1","13.3","","7.7","9.1","40.9","15.3"
"82","T.J. Hockenson","MIN","TE","15","2025","20.0","14.3","25.0","10.9","17.1","","21.4","9.7","12.0","4.8","18.8","21.1","20.0","13.0","20.8","4.3","","","15.1"
