forecast_as_of,family,target,training_games,intercept,structural_coefficient,environment_coefficient,residual_scale,nu,ridge_penalty,intercept_posterior_sd,structural_coefficient_posterior_sd,environment_coefficient_posterior_sd,residual_scale_posterior_sd,nu_posterior_sd,prior_intercept_sd_standardized,prior_coefficient_sd_standardized,prior_log_scale_sd,prior_nu_minus_two_mean,structural_prior_sd_raw_equivalent,environment_prior_sd_raw_equivalent
2025-10-28T16:00:00+00:00,structural_ridge_gaussian,margin,30,3.8143985385485273,34.15836099892323,7.711392714763291,10.095192390242351,,4.0,,,,,,,,,,,
2025-10-28T16:00:00+00:00,structural_ridge_gaussian,total,30,120.43583237480871,25.73802182758225,-1.7576958369716915,12.392747817338877,,4.0,,,,,,,,,,,
2025-10-28T16:00:00+00:00,structural_gaussian_map_laplace,margin,30,4.038152446094499,33.230235891496335,0.2931536682707469,10.493199674844265,,,2.2434652320707937,18.67976994317662,0.62157098799896,2.4933198126367673,,2.0,1.0,0.75,,60.17133162339342,1.8730255711575883
2025-10-28T16:00:00+00:00,structural_gaussian_map_laplace,total,30,60.06526165514351,21.627154704212373,-0.38539309989958614,11.245707754826324,,,45.24413931350673,18.774252650266085,1.0222067420519774,3.6938152216916773,,2.0,1.0,0.75,,59.04302113168197,1.2850122083884528
2025-10-28T16:00:00+00:00,structural_student_t_map_laplace,margin,30,4.1110496835147625,33.01580650596327,0.33317853088005567,9.722928545747644,12.947346355491268,,2.2440278458282545,19.414194252332063,0.6739939053594967,2.543434479447756,9.966115821843934,2.0,1.0,0.75,10.0,60.17133162339342,1.8730255711575883
2025-10-28T16:00:00+00:00,structural_student_t_map_laplace,total,30,67.49609269029293,24.495084453327497,-0.554268854599738,9.76138462593264,13.656963815077564,,38.721219306840176,20.248762675464615,0.8715845445273234,4.486020951558617,10.34161602621886,2.0,1.0,0.75,10.0,59.04302113168197,1.2850122083884528
2025-11-04T16:00:00+00:00,league_mean_hfa_gaussian,margin,43,0.0,0.0,1.0,15.288439463701888,,,,,,,,,,,,,
2025-11-04T16:00:00+00:00,league_mean_hfa_gaussian,total,43,0.0,0.0,1.0,13.694334267814423,,,,,,,,,,,,,
2025-11-04T16:00:00+00:00,structural_ridge_gaussian,margin,43,3.4625112013423003,48.24564649490156,0.605732067236718,13.767150767109698,,4.0,,,,,,,,,,,
2025-11-04T16:00:00+00:00,structural_ridge_gaussian,total,43,133.92953428463414,19.569890453523588,-2.046565469877701,12.789035402839003,,4.0,,,,,,,,,,,
2025-11-04T16:00:00+00:00,structural_gaussian_map_laplace,margin,43,3.8111690003209704,71.87821363782132,0.1708795440972554,5.475324709452341,,,2.173857896175405,13.882359813036963,0.6745725124428162,4.270241718217504,,2.0,1.0,0.75,,71.72530097858441,2.432183916837104
2025-11-04T16:00:00+00:00,structural_gaussian_map_laplace,total,43,64.61569469082283,14.178963819118724,-0.44586810416104833,12.212597813480322,,,27.419221522591993,16.365594249885863,0.6177402701236264,2.002073978134269,,2.0,1.0,0.75,,62.77078670929232,1.5302739862709531
2025-11-04T16:00:00+00:00,structural_student_t_map_laplace,margin,43,3.6875407155864717,73.01887185903324,0.23100356377479647,4.8870253667109536,12.890139245582779,,2.1229918094544047,24.080377215406845,0.9326701421412746,7.50872464469443,10.140164656262767,2.0,1.0,0.75,10.0,71.72530097858441,2.432183916837104
2025-11-04T16:00:00+00:00,structural_student_t_map_laplace,total,43,69.75480875561108,14.589854876273133,-0.5638708807970427,11.118103061218225,13.701692598259529,,25.389344058131158,17.513146542893104,0.5697320845763263,2.256746893074087,10.135700890662124,2.0,1.0,0.75,10.0,62.77078670929232,1.5302739862709531
2025-11-11T16:00:00+00:00,league_mean_hfa_gaussian,margin,57,0.0,0.0,1.0,15.000323950946928,,,,,,,,,,,,,
2025-11-11T16:00:00+00:00,league_mean_hfa_gaussian,total,57,0.0,0.0,1.0,13.961546676551876,,,,,,,,,,,,,
2025-11-11T16:00:00+00:00,structural_ridge_gaussian,margin,57,3.6742239202923366,51.63915664888824,-0.5474430723924596,13.262437131871328,,4.0,,,,,,,,,,,
2025-11-11T16:00:00+00:00,structural_ridge_gaussian,total,57,113.51543883749957,15.779412205113912,-1.5544373273811947,13.265011318964994,,4.0,,,,,,,,,,,
