forecast_as_of,family,target,optimizer_success,objective_value,raw_hessian_min_eigenvalue,raw_hessian_max_eigenvalue,nonpositive_eigenvalues,floored_eigenvalues,floored_fraction,stabilized_condition_number,covariance_clipped_eigenvalues,max_covariance_eigenvalue_reduction,optimizer_gradient_norm,status
2025-11-11T16:00:00+00:00,structural_student_t_map_laplace,total,True,81.16066645265333,0.8834518242462582,82.5647436686692,0,0,0.0,93.45698475308672,0,0.0,1.1099032347703292e-05,ok
2025-11-18T16:00:00+00:00,structural_gaussian_map_laplace,margin,True,93.84748477537367,4.826031217462424,127.14028028666385,0,0,0.0,26.344686670617,0,0.0,4.713207302153245e-06,ok
2025-11-18T16:00:00+00:00,structural_gaussian_map_laplace,total,True,100.36535586598092,12.72888462026003,138.02236441838164,0,0,0.0,10.843241064397523,0,0.0,3.4809342859263175e-06,ok
2025-11-18T16:00:00+00:00,structural_student_t_map_laplace,margin,True,94.99410734192185,1.2763520169315552,124.23081766592864,0,0,0.0,97.33272327534588,0,0.0,8.874675922920397e-06,ok
2025-11-18T16:00:00+00:00,structural_student_t_map_laplace,total,True,101.39196572233314,1.4979440771349237,115.68185999104084,0,0,0.0,77.22708861889046,0,0.0,3.8866103134283954e-05,ok
2025-11-25T16:00:00+00:00,structural_gaussian_map_laplace,margin,True,113.69471097526713,5.484308662840535,161.49387550724913,0,0,0.0,29.446532906046397,0,0.0,3.177643716506121e-06,ok
2025-11-25T16:00:00+00:00,structural_gaussian_map_laplace,total,True,121.21042590829468,16.730296805998318,164.15032541323254,0,0,0.0,9.811560865697235,0,0.0,1.5371389602761693e-05,ok
2025-11-25T16:00:00+00:00,structural_student_t_map_laplace,margin,True,114.80801041643339,1.2178827133053283,153.502474024657,0,0,0.0,126.04044079749845,0,0.0,1.8364471556285853e-05,ok
2025-11-25T16:00:00+00:00,structural_student_t_map_laplace,total,True,122.18254196282669,1.4749975534292932,137.24140779148894,0,0,0.0,93.04517656480836,0,0.0,1.626506666686687e-05,ok
2025-12-02T16:00:00+00:00,structural_gaussian_map_laplace,margin,True,130.00139534419958,8.241171691524752,198.6627009316511,0,0,0.0,24.106123299913346,0,0.0,5.684341872556013e-06,ok
2025-12-02T16:00:00+00:00,structural_gaussian_map_laplace,total,True,140.5603054255334,20.240385366322055,187.75378149250696,0,0,0.0,9.276195986115471,0,0.0,1.3024463489297956e-05,ok
2025-12-02T16:00:00+00:00,structural_student_t_map_laplace,margin,True,131.16948642725845,1.2795253395832837,188.43560678779113,0,0,0.0,147.26992968280013,0,0.0,5.194256930844686e-05,ok
2025-12-02T16:00:00+00:00,structural_student_t_map_laplace,total,True,141.37879875823995,1.4521762641869065,155.75235094541097,0,0,0.0,107.25443927608805,0,0.0,7.025395862434158e-05,ok
