game_id,play_id,season,week,posteam,defteam,play_type,epa,source_posteam,source_defteam,snapshot_id
2025_04_BAL_KC,823.0,2025,4,KC,BAL,run,-0.5935877566225827,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,857.0,2025,4,KC,BAL,pass,2.9529870350379497,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,882.0,2025,4,KC,BAL,pass,-0.4836339936591685,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,905.0,2025,4,KC,BAL,pass,0.03207821073010564,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,930.0,2025,4,KC,BAL,,0.0,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,950.0,2025,4,KC,BAL,run,-0.6924485974013805,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,977.0,2025,4,KC,BAL,run,1.749325268319808,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1003.0,2025,4,KC,BAL,pass,1.2136051254346967,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1028.0,2025,4,KC,BAL,run,-0.36884589691180736,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1050.0,2025,4,KC,BAL,run,-0.23083995922934264,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1072.0,2025,4,KC,BAL,pass,1.6496529355063103,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1097.0,2025,4,KC,BAL,run,-0.6159977883799002,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1119.0,2025,4,KC,BAL,pass,-0.9965310958796181,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1142.0,2025,4,KC,BAL,pass,-1.3938169741962634,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1174.0,2025,4,KC,BAL,field_goal,0.0566939097555883,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
